Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Primary Artist ID,Genres,Top Genre
3bbdZdZQtCtnWEN5zG7Eyj,'3Z02hBLubJxuFJfhacLSDc',Bryan Adams,5HQ6AUDMbMuwktvcNPuV1y,36.0,track:(Everything I Do) I Do It for You artist:Bryan Adams,1.0,1991-01-01,(Everything I Do) I Do It for You,1991.0,0.521,0.349,1,-13.452,1,0.0289,0.0648,1.33e-05,0.055,0.273,131.189,398027,4,3Z02hBLubJxuFJfhacLSDc,"album rock, canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, rock, soft rock",rock
4zhigAhPwqp43XVHBiVeQI,'7xTcuBOIAAIGDOSvwYFPzk',Daniel Powter,0mUyMawtxj1CJ76kn9gIZK,75.0,track:Bad Day artist:Daniel Powter,1.0,2005-02-22,Bad Day,2006.0,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4,7xTcuBOIAAIGDOSvwYFPzk,"canadian pop, neo mellow, pop rock",pop
0jZfbz0dNfDjPSg0hYJNth,'72OaDtakiy6yFqkt4TsiFt',Cher,2goLsvvODILDzeeiT4dAoR,76.0,track:Believe artist:Cher,1.0,1998-01-01,Believe,1999.0,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,4,72OaDtakiy6yFqkt4TsiFt,"dance pop, hollywood, new wave pop, pop, pop rock",pop
2Jmuuw5ff8gAGAP6B1yKKJ,'5PN2aHIvLEM98XIorsPMhE',Kim Carnes,0kPeymTUiaidv48eRrMISu,64.0,track:Bette Davis Eyes artist:Kim Carnes,1.0,2007-01-01,Bette Davis Eyes,1981.0,0.659,0.541,5,-7.919,1,0.0272,0.0174,0.0,0.198,0.56,116.685,224693,4,5PN2aHIvLEM98XIorsPMhE,"new wave pop, soft rock",rock
4yP0hdKOZPNshxUOjY0cZj,'1Xyo4u8uXC1ZmMpatF05PJ',The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,94.0,track:Blinding Lights artist:The Weeknd,1.0,2020-03-20,Blinding Lights,2020.0,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",soul/r&b
3BGPil8BDPVoDK0lnUPtvb,'25NQNriVT2YbSW80ILRWJa',Faith Hill,3y4LxiYMgDl4RethdzpmNe,67.0,track:Breathe artist:Faith Hill,1.0,1999-11-09,Breathe,2000.0,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,25NQNriVT2YbSW80ILRWJa,"contemporary country, country, country dawn, country road, pop rock",country
0JwHz5SSvpYWuuCNbtYZoV,'70cRZdQywnSFp9pnc2WTCE',Simon ,6l8EbYRtQMgKOyc1gcDHF9,71.0,track:Bridge Over Troubled Water artist:Simon ,1.0,1970-01-26,Bridge Over Troubled Water,1970.0,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,4,70cRZdQywnSFp9pnc2WTCE,"classic rock, folk, folk rock, melancholia, mellow gold, rock",rock
76oMr4Y2pOtcrvZLc2ZikF,'1bs7HoMkSyQwcobCpE9KpN',The Mamas ,4s6LhHAV5SEsOV0lC2tjvJ,77.0,track:California Dreamin  artist:The Mamas ,1.0,1966-03-01,California Dreamin ,1966.0,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,162373,4,1bs7HoMkSyQwcobCpE9KpN,"brill building pop, bubblegum pop, classic rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock, sunshine pop",rock
7mEjsBlRmfP63cH1gdPT6A,'4tpUmLEVLCGFr93o8hFFIB',Blondie,0vLwL4xuJ3s7SeaCdvMqkY,60.0,track:Call Me artist:Blondie,1.0,1981-10-31,Call Me,1980.0,0.551,0.628,2,-13.799,1,0.036,0.0336,0.000194,0.151,0.777,142.167,212893,4,4tpUmLEVLCGFr93o8hFFIB,"candy pop, new wave, new wave pop, permanent wave, power pop, rock",pop
3jknvlUSe6D9Oyn2E3JBLO,'6O74knDqdv3XaWtkII7Xjp',Boyz II Men,3l3xTXsUXeWlkPqzMs7mPD,71.0,track:End of the Road artist:Boyz II Men,1.0,1991-04-30,End of the Road,1992.0,0.64,0.427,5,-9.29,0,0.0241,0.0664,0.0,0.0579,0.529,149.703,351467,3,6O74knDqdv3XaWtkII7Xjp,"boy band, new jack swing, quiet storm, r&b, urban contemporary",soul/r&b
