Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,track:The First Time Ever I Saw Your Face artist:Roberta Flack,0SxFyA4FqmEQqZVuAlg8lf,65,1969
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,track:The First Time Ever I Saw Your Face artist:Roberta Flack,7ymH5c6nCnqUOcVkmyPm8S,1,2021-05-07
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,track:The First Time Ever I Saw Your Face artist:Roberta Flack,4qPznpVxgaunQB3gLtdiWr,22,2005-04-19
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,track:The First Time Ever I Saw Your Face artist:Roberta Flack,0GjqOvsdHukLZMEzwMvAND,25,2021-02-26
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,track:The First Time Ever I Saw Your Face artist:Roberta Flack,3bNeiUR1H0qDbLcbdYc5Bt,15,2021-02-26
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,track:Alone Again (Naturally) artist:Gilbert O'Sullivan,6vuEG9sZtC4W2zT64f7zLF,56,1972-01-01
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,track:Alone Again (Naturally) artist:Gilbert O'Sullivan,1pQsftaOLg3bjGzrgF9GtQ,20,2012-03-12
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,track:Alone Again (Naturally) artist:Gilbert O'Sullivan,7CiSWZIt0qwhkEw6D7Um7P,23,1972-06-01
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,track:Alone Again (Naturally) artist:Gilbert O'Sullivan,77nJVfp0c8BsIaPRQwJZlN,10,2004-01-01
3,American Pie,Don McLean,1972,track:American Pie artist:Don McLean,1fDsrQ23eTAVFElUMaf38X,75,1971
3,American Pie,Don McLean,1972,track:American Pie artist:Don McLean,2QgWuCtBpNIpl5trmKCxRf,69,1988-01-01
3,American Pie,Don McLean,1972,track:American Pie artist:Don McLean,4p9haCTdqBPHuWttwikAiw,42,1971
3,American Pie,Don McLean,1972,track:American Pie artist:Don McLean,23oIl5QX7udr8HBX8rcC4K,32,2020-05-29
3,American Pie,Don McLean,1972,track:American Pie artist:Don McLean,3DAuLRNBhVnXW2A8qrY2YF,25,2003-10-21
4,Without You,Harry Nilsson,1972,track:Without You artist:Harry Nilsson,6MrILERJLA3Jcq0E9poZsp,67,1971
4,Without You,Harry Nilsson,1972,track:Without You artist:Harry Nilsson,71J4xXq353OxsC03ohpN7F,37,2010-03-01
4,Without You,Harry Nilsson,1972,track:Without You artist:Harry Nilsson,7DsVUVNJPFToKYpDO6JXp1,25,1970-02-01
4,Without You,Harry Nilsson,1972,track:Without You artist:Harry Nilsson,7kfdBeUQ74E2dyK4iY2IYb,25,2017-10-20
4,Without You,Harry Nilsson,1972,track:Without You artist:Harry Nilsson,3RlZ9ZJTFaJ65HdMnOe2oE,15,2014-02-10
5,The Candy Man,Sammy Davis Jr.,1972,track:The Candy Man artist:Sammy Davis Jr.,5X3XrHlCFVGqNKpGp85xVC,43,1995
5,The Candy Man,Sammy Davis Jr.,1972,track:The Candy Man artist:Sammy Davis Jr.,6jGb3Hhy6Dfhci1Eb3au0R,35,2002-01-01
5,The Candy Man,Sammy Davis Jr.,1972,track:The Candy Man artist:Sammy Davis Jr.,5yjuIx3UvOKHwLsCuM3DMM,41,2002-01-01
5,The Candy Man,Sammy Davis Jr.,1972,track:The Candy Man artist:Sammy Davis Jr.,0YepQngc69waqhcXZZwFw2,32,1995-08-01
5,The Candy Man,Sammy Davis Jr.,1972,track:The Candy Man artist:Sammy Davis Jr.,23eCDL4yy8aCvD0OSKPYwE,35,1999-01-01
6,I Gotcha,Joe Tex,1972,track:I Gotcha artist:Joe Tex,3t5caUWBhKDgy1ypsxRcg4,42,1969-01-01
6,I Gotcha,Joe Tex,1972,track:I Gotcha artist:Joe Tex,15en5xAk3uORkyA01e6pIO,39,2000-11-06
6,I Gotcha,Joe Tex,1972,track:I Gotcha artist:Joe Tex,6L8tUz4kso3lYASiCDWhS5,0,2020-09-01
