Artist(s),Query,Rank,Song,Year
Sam Smith  and  Normani,track:Dancing with a Stranger artist:Sam Smith  and  Normani,14,Dancing with a Stranger,2019.0
"Benny Blanco  ,  Halsey  and  Khalid","track:Eastside artist:Benny Blanco  ,  Halsey  and  Khalid",17,Eastside,2019.0
Lady Gaga  and  Bradley Cooper,track:Shallow artist:Lady Gaga  and  Bradley Cooper,19,Shallow,2019.0
Cardi B  and  Bruno Mars,track:Please Me artist:Cardi B  and  Bruno Mars,37,Please Me,2019.0
"Gucci Mane  ,  Bruno Mars  and  Kodak Black","track:Wake Up in the Sky artist:Gucci Mane  ,  Bruno Mars  and  Kodak Black",51,Wake Up in the Sky,2019.0
Mustard  and  Migos,track:Pure Water artist:Mustard  and  Migos,55,Pure Water,2019.0
"Young Thug  ,  J. Cole  and  Travis Scott","track:The London artist:Young Thug  ,  J. Cole  and  Travis Scott",64,The London,2019.0
"Cardi B  ,  Bad Bunny  and  J Balvin","track:I Like It artist:Cardi B  ,  Bad Bunny  and  J Balvin",69,I Like It,2019.0
Lil Baby  and  DaBaby,track:Baby artist:Lil Baby  and  DaBaby,84,Baby,2019.0
Khalid  and  Normani,track:Love Lies artist:Khalid  and  Normani,88,Love Lies,2019.0
Ariana Grande  and  Social House,track:Boyfriend artist:Ariana Grande  and  Social House,98,Boyfriend,2019.0
Pink,track:Walk Me Home artist:Pink,99,Walk Me Home,2019.0
