Year,Rank,Song,Artist(s),Query
1960,41,Paper Roses,Anita Bryant,track:Paper Roses artist:Anita Bryant
1960,58,The Old Lamp-Lighter,The Browns,track:The Old Lamp-Lighter artist:The Browns
1960,81,Tracy s Theme,Spencer Ross,track:Tracy s Theme artist:Spencer Ross
1963,91,Hot Pastrami,The Dartells,track:Hot Pastrami artist:The Dartells
1964,19,Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,track:Love Me with All Your Heart (Cuando Calienta El Sol) artist:The Ray Charles Singers
1967,92,"Little Ole Man (Uptight, Everything s Alright)",Bill Cosby,"track:Little Ole Man (Uptight, Everything s Alright) artist:Bill Cosby"
1971,64,She s Not Just Another Woman,8th Day,track:She s Not Just Another Woman artist:8th Day
1973,22,Pillow Talk,Sylvia Robinson,track:Pillow Talk artist:Sylvia Robinson
1973,86,Jambalaya (On the Bayou),Blue Ridge Rangers,track:Jambalaya (On the Bayou) artist:Blue Ridge Rangers
1977,4,Evergreen (Love Theme from  A Star Is Born  ),Barbra Streis,track:Evergreen (Love Theme from  A Star Is Born  ) artist:Barbra Streis
1977,73,Jeans On,Lord David Dundas,track:Jeans On artist:Lord David Dundas
1979,77,Ooo Baby Baby,Linda Ronstadt,track:Ooo Baby Baby artist:Linda Ronstadt
1980,19,"Please Don t Go  ""  [Notes 1]",KC ,"track:Please Don t Go  ""  [Notes 1] artist:KC "
1980,20,"Babe  ""  [Notes 1]",Styx,"track:Babe  ""  [Notes 1] artist:Styx"
1980,23,"Still  ""  [Notes 1]",Commodores,"track:Still  ""  [Notes 1] artist:Commodores"
1981,82,It s Now or Never,John Schneider,track:It s Now or Never artist:John Schneider
1981,96,Really Wanna Know You,Gary Wright,track:Really Wanna Know You artist:Gary Wright
1982,97,Goin  Down,Greg Guidry,track:Goin  Down artist:Greg Guidry
1984,69,Breakdance,Irene Cara,track:Breakdance artist:Irene Cara
1984,80,Breakin ... There s No Stopping Us,Ollie ,track:Breakin ... There s No Stopping Us artist:Ollie 
1987,45,I Just Can t Stop Loving You,Michael Jackson  with  Siedah Garrett,track:I Just Can t Stop Loving You artist:Michael Jackson  with  Siedah Garrett
1987,99,Funkytown,Pseudo Echo,track:Funkytown artist:Pseudo Echo
1990,69,Girls Nite Out,Tyler Collins,track:Girls Nite Out artist:Tyler Collins
1990,95,Whole Wide World,A'Me Lorain,track:Whole Wide World artist:A'Me Lorain
1993,69,"Bad Boys  "" (theme from  Cops  )",Inner Circle,"track:Bad Boys  "" (theme from  Cops  ) artist:Inner Circle"
1995,68,This Lil  Game We Play,Subway  ,track:This Lil  Game We Play artist:Subway  
1996,66,Theme from Mission: Impossible,Adam Clayton  ,track:Theme from Mission: Impossible artist:Adam Clayton  
1997,72,ESPN Presents The Jock Jam,Various Artists,track:ESPN Presents The Jock Jam artist:Various Artists
2007,5,Buy U a Drank (Shawty Snappin ),T-Pain  ,track:Buy U a Drank (Shawty Snappin ) artist:T-Pain  
2007,75,Big Shit Poppin  (Do It),T.I.,track:Big Shit Poppin  (Do It) artist:T.I.
2013,21,Cups (Pitch Perfect s  When I m Gone  ),Anna Kendrick,track:Cups (Pitch Perfect s  When I m Gone  ) artist:Anna Kendrick
