Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year
5xHStEOG8PsbzNQb7LkxZU,"['3nFkdlSjzX9mRTtwJOzDYB', '6vWDO969PvNqNYHIOW5v0m']",Jay-Z  ,5ljCWsDlSyJ41kwqym2ORw,65.0,track: 03 Bonnie & Clyde artist:Jay-Z  ,37.0,2002-11-12, 03 Bonnie & Clyde,2003.0
4OhFkx7dTPfj0BXerfldyk,['6EJmqnuK0r6qiAevFFiNNR'],Paul Davis,5nBp8F6tekSrnFg8G2Pvug,40.0,track: 65 Love Affair artist:Paul Davis,39.0,1979-01-01, 65 Love Affair,1982.0
1owJZaOR5bjd83oGHzSuyu,['4UPcJIhr5K5fPsm4itqT7E'],After 7,3kGMziz884MLV1oCwrarmN,44.0,track: Til You Do Me Right artist:After 7,88.0,1995-01-01, Til You Do Me Right,1995.0
7aDBFWp72Pz4NZEtVBANi9,"['4iHNK0tOyZPYnBU7nGAgpQ', '1255GTUKNCLCTvH9ctD4cT']",Mariah Carey  ,6t0c7t14prrgAZ0yLXMlrv,39.0,track:#Beautiful artist:Mariah Carey  ,81.0,1997-09-03,#Beautiful,2013.0
0VWYRbEcvJcPrqMGJirO6q,"['085pc2PYOi8bGKj0PNjekA', '1uNFoZAHBGtllmzznpCI3s']",will.i.am  ,01TuObJVd7owWchVRuQbQw,69.0,track:#thatPower artist:will.i.am  ,95.0,2013-01-01,#thatPower,2013.0
3E3QRjL4Cre7Krms420Irl,['0urTpYCsixqZwgNTkPJOJ4'],Aaliyah,4lRrk574qIHpoEEKC1zuam,64.0,track:(At Your Best) You Are Love artist:Aaliyah,70.0,1994-05-22,(At Your Best) You Are Love,1994.0
3bF75h2NG3y918xMulJ2UI,['5jJcbGPjjyEhAoU02ynHaA'],Nelson,3JjY2L2bqql54j1SjnjQ23,50.0,track:(Can t Live Without Your) Love and Affection artist:Nelson,27.0,1990-06-26,(Can t Live Without Your) Love and Affection,1990.0
7dGPVM0AMMePmVPiswvs4P,['5P53Exo01miUunItQyR2La'],L.T.D.,1eeySrWP5X7hsbfyc3PPge,46.0,track:(Every Time I Turn Around) Back in Love Again artist:L.T.D.,57.0,1977-01-01,(Every Time I Turn Around) Back in Love Again,1978.0
3bbdZdZQtCtnWEN5zG7Eyj,['3Z02hBLubJxuFJfhacLSDc'],Bryan Adams,5HQ6AUDMbMuwktvcNPuV1y,36.0,track:(Everything I Do) I Do It for You artist:Bryan Adams,1.0,1991-01-01,(Everything I Do) I Do It for You,1991.0
7frXOPUyftNx3e0GJLeh6n,['3JJYPOCM13Id9iZHtkwkI5'],Eddie Hodges,4PeZdZt3Mf46SfsL6Gj1EY,13.0,"track:(Girls, Girls, Girls) Made to Love artist:Eddie Hodges",96.0,2010-04-20,"(Girls, Girls, Girls) Made to Love",1962.0
