Rank,Song,Artist(s),Year,Query,ID,Popularity,Release Date
1,Boom Boom Pow,The Black Eyed Peas,2009,track:Boom Boom Pow artist:The Black Eyed Peas,580vlgOzp2zI5oeiSeMF9K,0,2011-05-10
1,Boom Boom Pow,The Black Eyed Peas,2009,track:Boom Boom Pow artist:The Black Eyed Peas,657sz1At38FG7M49C4oiJy,0,2011-04-01
1,Boom Boom Pow,The Black Eyed Peas,2009,track:Boom Boom Pow artist:The Black Eyed Peas,3TbjTK8kEN6IUffm3Nq9CW,0,2010-05-01
1,Boom Boom Pow,The Black Eyed Peas,2009,track:Boom Boom Pow artist:The Black Eyed Peas,6ZMo2Xo0Eub5muPHd27vm8,0,2010-11-01
1,Boom Boom Pow,The Black Eyed Peas,2009,track:Boom Boom Pow artist:The Black Eyed Peas,039yykaGVHZ3No1XQyjVFU,0,2010-03-01
2,Poker Face,Lady Gaga,2009,track:Poker Face artist:Lady Gaga,5R8dQOPq8haW94K7mgERlO,74,2008-01-01
2,Poker Face,Lady Gaga,2009,track:Poker Face artist:Lady Gaga,4YOh6PdHuxhOsBj6CFJC2P,0,2021-05-12
2,Poker Face,Lady Gaga,2009,track:Poker Face artist:Lady Gaga,2Q4qpK3J8fIco1XcfCsm8M,0,2021-05-11
2,Poker Face,Lady Gaga,2009,track:Poker Face artist:Lady Gaga,0N4BSSAn9C7j4p1vXSYtFr,0,2021-05-12
2,Poker Face,Lady Gaga,2009,track:Poker Face artist:Lady Gaga,3zEkUG5awBpqR0A8qhIX9v,0,2021-05-11
3,Just Dance,Lady Gaga  ,2009,track:Just Dance artist:Lady Gaga  ,2x7MyWybabEz6Y6wvHuwGE,72,2008-01-01
3,Just Dance,Lady Gaga  ,2009,track:Just Dance artist:Lady Gaga  ,3QuEpyj4kTRWiWuckd1hcK,56,2009-11-05
3,Just Dance,Lady Gaga  ,2009,track:Just Dance artist:Lady Gaga  ,4pqWpYDywe1X7xVPh39XsC,39,2009-08-05
3,Just Dance,Lady Gaga  ,2009,track:Just Dance artist:Lady Gaga  ,7sm1xuahSGG5qFa9pFXWVs,38,2008-01-01
3,Just Dance,Lady Gaga  ,2009,track:Just Dance artist:Lady Gaga  ,6yW9CqgCQQJ1bgATatlSi9,24,2008-01-01
